name                                                                                                         ,brand                  ,price       ,image                                                                                                                                                                                                                                                                     ,link
Раковина подвесная Laufen Pro S 8.1096.7.000.104.1 700х465 мм                                                ,Laufen                 ,18005.0000  ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/p/p/pp01_810963_citypro_110_cgp_gcr_q_tf_ppt_a4_1_1.jpeg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                            ,https://glavsnab.net/rakovina-podvesnaya-laufen-pro-s-8-1096-7-000-104-1-700h465-mm.html

Раковина накладная Duravit Vero 044560 нешлифованная 600х470 мм                                              ,Duravit                ,57288.0000  ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/6/7/678311_web2_prod_normal_2.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                   ,https://glavsnab.net/rakovina-neshlifovannaya-duravit-vero-belaya-60kh47sm-s-1-otverstiyem-454600000.html

Раковина подвесная Santek Ирис 36 WH110514 44 см                                                             ,Santek                 ,1981.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/s/a/santek_gallery_19_77547.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                     ,https://glavsnab.net/rakovina-santek-iris-36-wh110514.html

Раковина подвесная  Santek Анимо 1WH110490 400х310 мм                                                        ,Santek                 ,1820.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/4/0/4014488ee21bac739fdaf4c16353bc16_2.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                          ,https://glavsnab.net/rakovina-podvesnaya-santek-animo-1wh110490-400h310-mm.html

Раковина-чаша Laufen Pro B 8.1296.2.000.109.1 420х420 мм                                                     ,Laufen                 ,15288.0000  ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/p/p/pp01_812962_gcr_cgp_tf_ppt_a4.jpeg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                              ,https://glavsnab.net/rakovina-chasha-laufen-pro-b-8-1296-2-000-109-1-420h420-mm.html

Раковина встраиваемая Sanita Real 56                                                                         ,Sanita                 ,2261.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/3/4/34_18.png?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                                       ,https://glavsnab.net/rakovina-vstraivaemaya-sanita-real-56.html

